"","id","designer"
"801","325635","Justin D. Jacobson"
"802","325635","Brian Neff"
"803","335764","Noah Cohen"
"804","335764","Rob Daviau"
"805","335764","Justin D. Jacobson"
"806","335764","Chris Leder"
"807","335764","Brian Neff"
"808","335764","Kevin Rodgers"
"809","338834","Johannes Sich"
"810","315610","Alex Olteanu"
"811","315610","Marco Portugal"
"812","63628","Brandon Tibbetts"
"813","286751","Raphael Guiton"
"814","286751","Jean-Baptiste Lullien"
"815","286751","Nicolas Raoult"
"816","243","Don Greenwood"
"817","175095","Hermann Luttmann"
"818","96913","Matthias Cramer"
"819","353288","Charlie Bink"
"820","169427","Clayton Helme"
"821","169427","Brooklynn Lundberg"
"822","169427","Brenna Moncur"
"823","169427","Ian Tate"
"824","12942","Thorsten Gimmler"
"825","220","Reiner Knizia"
"826","66362","Matthias Cramer"
"827","79828","Martin Wallace"
"828","158899","Christophe Raimbault"
"829","11","Uwe Rosenberg"
"830","176396","Francois Gandon"
"831","205398","Bruno Faidutti"
"832","256730","Ryan Courtney"
"833","269144","Benjamin Schwer"
"834","256952","Annick Lobet"
"835","365258","Ze Mendes"
"836","270844","Joanna Kijanka"
"837","270844","Ignacy Trzewiczek"
"838","239942","Marco Montanaro"
"839","216600","Joseph Z Chen"
"840","216600","Justin Faulkner"
"841","290359","Trevor Benjamin"
"842","290359","David Thompson (I)"
"843","319910","Kasper Kjaer Christiansen"
"844","319910","Kare Storgaard"
"845","368173","Josh Wood"
"846","144189","Mark Herman"
"847","144189","Volko Ruhnke"
"848","274960","Molly Johnson"
"849","274960","Robert Melvin"
"850","274960","Shawn Stankewich"
"851","233312","Jerry Hawthorne"
"852","194607","John D. Clair"
"853","552","Jeroen Doumen"
"854","552","Joris Wiersinga"
"855","478","Bruno Faidutti"
"856","15062","Bruno Cathala"
"857","15062","Serge Laget"
"858","5404","Reiner Knizia"
"859","20437","James Ernest"
"860","20437","Mike Selinker"
"861","43570","Friedemann Friese"
"862","503","Reiner Knizia"
"863","385610","Ondrej Bystron"
"864","385610","Petr Caslava"
"865","385610","Pavel Jarosch"
"866","290236","Jeff Chin"
"867","290236","Andrew Nerger"
"868","98778","Antoine Bauza"
"869","137408","Stefan Feld"
